run,n,count,serial_ms,t1_ms,t2_ms,t4_ms,t8_ms,t16_ms,t32_ms,speedup_x2,speedup_x4,speedup_x8,speedup_x16,speedup_x32
1,8,92,0.028,364.305,0.233,0.233,0.226,0.222,0.220,0.121,0.120,0.124,0.126,0.127
1,10,724,0.458,2.662,2.663,2.665,2.654,2.654,2.653,0.172,0.172,0.173,0.173,0.173
1,12,14200,10.674,53.681,51.199,50.329,50.326,50.323,30.433,0.208,0.212,0.212,0.212,0.351
1,14,365596,356.010,640.390,640.321,641.203,640.942,640.793,640.788,0.556,0.555,0.555,0.556,0.556
1,15,2279184,2138.321,3978.247,3797.226,3796.521,3796.309,3793.347,3794.858,0.563,0.563,0.563,0.564,0.563

2,8,92,0.029,239.432,0.119,0.124,0.106,0.103,0.102,0.243,0.232,0.273,0.281,0.282
2,10,724,0.440,1.133,1.133,1.134,1.133,1.132,1.133,0.388,0.388,0.388,0.388,0.388
2,12,14200,10.687,22.616,22.618,22.612,22.613,22.614,22.618,0.473,0.473,0.473,0.473,0.473
2,14,365596,344.065,640.207,640.195,640.133,640.165,640.279,640.320,0.537,0.537,0.537,0.537,0.537
2,15,2279184,2140.282,3947.649,3798.512,3795.726,3798.664,3794.321,3799.209,0.563,0.564,0.563,0.564,0.563

3,8,92,0.062,235.858,0.118,0.107,0.104,0.115,0.108,0.524,0.577,0.595,0.536,0.571
3,10,724,0.440,1.149,1.146,1.144,1.151,1.149,1.145,0.384,0.385,0.382,0.383,0.384
3,12,14200,10.668,22.842,22.838,22.734,22.629,22.636,22.632,0.467,0.469,0.471,0.471,0.471
3,14,365596,343.138,640.345,640.203,640.253,640.265,640.015,639.896,0.536,0.536,0.536,0.536,0.536
3,15,2279184,2142.369,3968.563,3794.385,3792.457,3792.439,3792.630,3793.472,0.565,0.565,0.565,0.565,0.565

4,8,92,0.034,242.079,0.117,0.106,0.103,0.104,0.113,0.288,0.317,0.329,0.324,0.297
4,10,724,0.458,1.141,1.134,1.134,1.134,1.134,1.132,0.404,0.404,0.404,0.404,0.404
4,12,14200,10.742,22.641,22.652,22.627,22.643,22.639,22.625,0.474,0.475,0.474,0.474,0.475
4,14,365596,343.029,640.135,640.055,639.854,639.971,639.837,639.936,0.536,0.536,0.536,0.536,0.536
4,15,2279184,2143.314,3946.351,3795.430,3792.711,3795.704,3790.752,3794.831,0.565,0.565,0.565,0.565,0.565

5,8,92,0.028,235.721,0.123,0.109,0.104,0.104,0.103,0.227,0.256,0.268,0.269,0.270
5,10,724,0.448,1.137,1.136,1.135,1.132,1.133,1.133,0.395,0.395,0.396,0.396,0.396
5,12,14200,10.744,22.616,22.602,22.596,22.600,22.603,22.602,0.475,0.475,0.475,0.475,0.475
5,14,365596,343.509,639.804,639.790,639.717,639.739,639.643,639.652,0.537,0.537,0.537,0.537,0.537
5,15,2279184,2144.193,3943.991,3794.787,3790.809,3794.906,3791.462,3794.860,0.565,0.566,0.565,0.566,0.565

6,8,92,0.029,261.206,0.130,0.109,0.103,0.103,0.103,0.222,0.264,0.279,0.278,0.278
6,10,724,0.447,1.134,1.133,1.133,1.132,1.132,1.133,0.394,0.395,0.395,0.395,0.395
6,12,14200,10.696,22.602,22.597,22.597,22.593,22.594,22.591,0.473,0.473,0.473,0.473,0.473
