run,n,count,serial_ms,t1_ms,t2_ms,t4_ms,t8_ms,t16_ms,t32_ms,speedup_x2,speedup_x4,speedup_x8,speedup_x16,speedup_x32
1,8,92,0.074,0.031,0.081,0.141,0.194,0.311,0.609,0.916,0.524,0.382,0.238,0.121
1,10,724,0.428,0.416,0.252,0.580,0.178,0.286,0.493,1.701,0.738,2.410,1.500,0.870
1,12,14200,10.506,10.152,5.124,2.651,1.832,1.119,1.363,2.050,3.963,5.733,9.385,7.706
1,14,365596,337.803,323.545,161.964,90.009,47.130,25.460,25.607,2.086,3.753,7.168,13.268,13.192
1,15,2279184,2113.578,2023.907,1065.485,535.840,276.788,149.166,186.237,1.984,3.944,7.636,14.169,11.349

2,8,92,0.075,0.076,0.076,0.118,0.191,0.284,0.580,0.994,0.639,0.395,0.266,0.130
2,10,724,0.435,0.417,0.244,0.592,0.192,0.269,0.576,1.781,0.735,2.267,1.615,0.755
2,12,14200,10.496,10.090,5.141,2.651,1.822,1.120,1.355,2.042,3.960,5.760,9.373,7.744
2,14,365596,337.344,323.796,162.192,89.985,47.239,25.586,25.738,2.080,3.749,7.141,13.185,13.107
2,15,2279184,2107.734,2022.056,1065.857,536.002,276.802,149.303,187.204,1.978,3.932,7.615,14.117,11.259

3,8,92,0.027,0.032,0.081,0.142,0.220,0.314,0.516,0.333,0.189,0.122,0.086,0.052
3,10,724,0.436,0.418,0.244,0.584,0.191,0.277,0.535,1.789,0.747,2.282,1.572,0.816
3,12,14200,10.931,10.118,5.155,2.701,1.802,1.106,1.339,2.121,4.046,6.067,9.884,8.163
3,14,365596,338.052,323.706,162.039,89.951,47.220,25.398,25.745,2.086,3.758,7.159,13.310,13.131
3,15,2279184,2105.256,2024.148,1065.632,535.864,276.673,149.303,187.643,1.976,3.929,7.609,14.101,11.219

4,8,92,0.076,0.085,0.097,0.217,0.259,0.284,0.589,0.783,0.351,0.293,0.268,0.129
4,10,724,0.431,0.417,0.233,0.591,0.210,0.270,0.585,1.852,0.729,2.048,1.597,0.736
4,12,14200,10.468,10.076,5.141,2.755,1.827,1.119,1.346,2.036,3.800,5.729,9.356,7.778
4,14,365596,336.367,323.780,162.179,89.741,47.232,25.533,25.695,2.074,3.748,7.122,13.174,13.091
4,15,2279184,2109.806,2023.294,1065.387,535.617,276.514,148.798,190.444,1.980,3.939,7.630,14.179,11.078

5,8,92,0.086,0.030,0.077,0.177,0.263,0.362,0.464,1.117,0.484,0.325,0.237,0.184
5,10,724,0.435,0.413,0.263,0.595,0.192,0.267,0.523,1.653,0.732,2.261,1.630,0.831
5,12,14200,10.509,10.113,5.131,2.655,1.835,1.114,1.349,2.048,3.959,5.728,9.430,7.792
