run,nx,ny,nz,N,serial_ms,parallel_ms,speedup
1,8,8,8,512,26.199289,387.103862,0.067680
1,8,16,8,1024,224.992215,54.925164,4.096341
1,8,16,16,2048,2396.593009,241.149233,9.938215
1,16,16,16,4096,23594.808859,1496.614167,15.765459

2,8,8,8,512,26.368549,249.502195,0.105685
2,8,16,8,1024,210.317397,48.106245,4.371935
2,8,16,16,2048,2405.675363,254.244943,9.462038
2,16,16,16,4096,25538.855030,1502.422304,16.998453

3,8,8,8,512,26.194351,265.905597,0.098510
3,8,16,8,1024,210.484599,47.407732,4.439879
3,8,16,16,2048,2386.597037,252.300373,9.459348
3,16,16,16,4096,24455.494840,1645.939769,14.858074

4,8,8,8,512,26.244801,270.812364,0.096911
4,8,16,8,1024,215.834053,53.545281,4.030870
4,8,16,16,2048,3775.203684,277.621199,13.598398
4,16,16,16,4096,24617.493950,1492.738807,16.491495

5,8,8,8,512,34.034244,274.475880,0.123997
5,8,16,8,1024,211.037391,53.639413,3.934372
5,8,16,16,2048,4015.423330,275.850152,14.556538
5,16,16,16,4096,43515.179160,1640.806777,26.520599

6,8,8,8,512,26.236000,270.925874,0.096838
6,8,16,8,1024,215.078671,46.749161,4.600696
6,8,16,16,2048,2382.218696,249.448171,9.549955
6,16,16,16,4096,23689.397587,1632.479335,14.511300

7,8,8,8,512,26.181593,265.403296,0.098648
7,8,16,8,1024,212.349033,46.135716,4.602704
7,8,16,16,2048,2452.469124,247.024630,9.928035
7,16,16,16,4096,23359.696865,1496.227288,15.612399

8,8,8,8,512,26.342433,263.948356,0.099801
8,8,16,8,1024,223.414456,53.235977,4.196682
8,8,16,16,2048,3454.999854,250.654349,13.783921
8,16,16,16,4096,42497.558398,1629.444233,26.081014

9,8,8,8,512,26.568486,252.494642,0.105224
9,8,16,8,1024,217.936038,46.713540,4.665372
9,8,16,16,2048,2397.127495,247.514104,9.684812
9,16,16,16,4096,23499.145808,1498.085720,15.686116

10,8,8,8,512,32.090840,255.494076,0.125603
10,8,16,8,1024,218.351711,46.645172,4.681121
10,8,16,16,2048,2392.191612,245.766622,9.733590
10,16,16,16,4096,23322.488768,1491.824820,15.633530
