run,nx,ny,nz,N,serial_ms,parallel_ms,speedup
1,8,8,8,512,21.449536,12.830013,1.671825
1,8,16,8,1024,173.930882,24.330814,7.148585
1,8,16,16,2048,1858.289846,84.481877,21.996313
1,16,16,16,4096,21645.652082,2523.978636,8.576004

2,8,8,8,512,21.222660,42.190511,0.503020
2,8,16,8,1024,174.672501,41.648907,4.193928
2,8,16,16,2048,1858.068147,81.907968,22.684828
2,16,16,16,4096,21557.633469,2459.048058,8.766658

3,8,8,8,512,21.210925,12.898401,1.644462
3,8,16,8,1024,173.723902,24.566972,7.071441
3,8,16,16,2048,1880.478245,84.929990,22.141510
3,16,16,16,4096,21577.233859,2649.221502,8.144745

4,8,8,8,512,20.970977,15.594606,1.344758
4,8,16,8,1024,174.682622,46.387394,3.765735
4,8,16,16,2048,1876.214991,122.162600,15.358342
4,16,16,16,4096,21735.514746,2105.345918,10.323964

5,8,8,8,512,21.335039,12.241527,1.742841
5,8,16,8,1024,174.675532,24.073437,7.255945
5,8,16,16,2048,1955.645992,86.242509,22.676126
5,16,16,16,4096,22023.657961,2128.672196,10.346195

6,8,8,8,512,21.206492,12.338110,1.718780
6,8,16,8,1024,173.584189,24.346601,7.129709
6,8,16,16,2048,1867.895925,81.537356,22.908468
6,16,16,16,4096,21833.757509,2176.386188,10.032115

7,8,8,8,512,21.416521,12.479025,1.716201
7,8,16,8,1024,175.636993,24.540589,7.157000
7,8,16,16,2048,1885.217674,83.859406,22.480694
7,16,16,16,4096,21783.881272,2216.501722,9.828046

8,8,8,8,512,21.248158,12.340212,1.721863
8,8,16,8,1024,173.698024,29.992842,5.791316
8,8,16,16,2048,1869.446116,82.927683,22.543089
8,16,16,16,4096,21897.635282,2266.634157,9.660860

9,8,8,8,512,21.368911,12.747752,1.676289
9,8,16,8,1024,174.251302,24.326909,7.162904
9,8,16,16,2048,1947.798184,84.694634,22.997894
9,16,16,16,4096,21797.954753,2129.218218,10.237539

10,8,8,8,512,21.271744,12.167842,1.748194
10,8,16,8,1024,174.734764,24.469114,7.141034
10,8,16,16,2048,1896.588974,82.432219,23.007860
10,16,16,16,4096,21727.112872,2119.603196,10.250557
