run,nx,ny,nz,N,serial_ms,parallel_ms,speedup
1,8,8,8,512,21.563065,24.239110,0.889598
1,8,16,8,1024,177.902272,49.575395,3.588520
1,8,16,16,2048,1927.104439,135.466687,14.225670
1,16,16,16,4096,22035.118574,2231.708675,9.873654

2,8,8,8,512,22.182708,24.238176,0.915197
2,8,16,8,1024,173.766386,50.456543,3.443882
2,8,16,16,2048,1911.901600,134.222343,14.244287
2,16,16,16,4096,21746.657954,2238.897716,9.713109

3,8,8,8,512,21.290634,24.856791,0.856532
3,8,16,8,1024,173.229039,49.571111,3.494556
3,8,16,16,2048,1869.898875,132.464354,14.116242
3,16,16,16,4096,21693.926670,2230.813146,9.724672

4,8,8,8,512,21.304135,24.036746,0.886315
4,8,16,8,1024,175.167494,49.602455,3.531428
4,8,16,16,2048,1877.104437,136.280850,13.773795
4,16,16,16,4096,21820.666451,2248.922446,9.702721

5,8,8,8,512,21.528470,24.744079,0.870045
5,8,16,8,1024,177.707455,50.408056,3.525378
5,8,16,16,2048,1883.287314,147.131055,12.800067
5,16,16,16,4096,21710.807312,2261.912929,9.598428

6,8,8,8,512,21.307921,25.454100,0.837112
6,8,16,8,1024,174.458585,50.759399,3.436971
6,8,16,16,2048,1909.230587,137.940181,13.841004
6,16,16,16,4096,21773.587097,2247.618044,9.687405

7,8,8,8,512,21.203570,24.457262,0.866964
7,8,16,8,1024,174.083183,50.211537,3.466996
7,8,16,16,2048,1972.970829,136.055562,14.501214
7,16,16,16,4096,21768.060184,2270.393100,9.587793

8,8,8,8,512,21.173543,24.634178,0.859519
8,8,16,8,1024,173.315060,50.367006,3.441044
8,8,16,16,2048,1861.576136,135.246011,13.764370
8,16,16,16,4096,21723.465807,2288.692001,9.491651

9,8,8,8,512,21.657785,24.748265,0.875123
9,8,16,8,1024,178.438002,57.328713,3.112542
9,8,16,16,2048,1901.877117,134.549021,14.135198
9,16,16,16,4096,22008.168927,2254.746538,9.760817

10,8,8,8,512,21.851811,25.481525,0.857555
10,8,16,8,1024,178.036259,49.873672,3.569744
10,8,16,16,2048,1919.040157,134.039025,14.317026
10,16,16,16,4096,22021.982343,2229.999065,9.875333
