run,graph,num_nodes,num_edges,avg_degree,ms_t1,ms_t2,ms_t4,ms_t8,ms_t16,ms_t32,mteps_t1,mteps_t2,mteps_t4,mteps_t8,mteps_t16,mteps_t32,speedup_t2,speedup_t4,speedup_t8,speedup_t16,speedup_t32
1,chesapeake,39,340,8.71795,371.244,0.220599,0.23962,0.197234,0.19517,0.192396,0.000915839,1.54126,1.41891,1.72384,1.74207,1.76719,1682.89,1549.3,1882.25,1902.16,1929.58
1,hollywood-2009,1139905,113891327,99.913,191.68,189.512,189.925,188.292,189.174,189.317,594.173,600.973,599.664,604.866,602.045,601.591,1.01144,1.00924,1.018,1.01325,1.01248
1,ldoor,952203,46522475,48.8577,108.114,107.143,107.215,103.723,103.716,101.59,430.309,434.21,433.919,448.524,448.555,457.942,1.00907,1.00839,1.04233,1.0424,1.06422
1,roadNet-CA,1971281,5533214,2.80691,162.186,112.485,102.62,89.0894,88.4863,88.4226,34.1164,49.1909,53.9194,62.1086,62.5319,62.5769,1.44185,1.58045,1.82049,1.8329,1.83422
2,chesapeake,39,340,8.71795,235.906,0.161886,0.169286,0.151364,0.146608,0.146262,0.00144125,2.10024,2.00844,2.24624,2.31911,2.3246,1457.24,1393.54,1558.54,1609.09,1612.9
2,hollywood-2009,1139905,113891327,99.913,191.75,189.216,190.106,189.251,189.794,189.122,593.956,601.912,599.095,601.801,600.077,602.211,1.01339,1.00865,1.01321,1.01031,1.0139
2,ldoor,952203,46522475,48.8577,64.553,63.8657,63.9046,63.9207,52.7461,52.5835,720.687,728.442,727.999,727.815,882.008,884.735,1.01076,1.01015,1.00989,1.22384,1.22763
2,roadNet-CA,1971281,5533214,2.80691,152.531,126.053,102.199,98.4326,90.2597,89.7415,36.2761,43.8959,54.1417,56.2132,61.3033,61.6573,1.21005,1.49249,1.5496,1.68991,1.69967
3,chesapeake,39,340,8.71795,253.549,0.172668,0.182005,0.185641,0.170149,0.163505,0.00134096,1.9691,1.86808,1.83149,1.99825,2.07945,1468.42,1393.09,1365.8,1490.16,1550.71
3,hollywood-2009,1139905,113891327,99.913,92.7263,88.0359,85.2863,84.8215,79.6616,80.3918,1228.25,1293.69,1335.4,1342.72,1429.69,1416.7,1.05328,1.08724,1.09319,1.164,1.15343
3,ldoor,952203,46522475,48.8577,64.4282,63.1332,60.4689,60.4824,60.5145,49.7537,722.083,736.894,769.362,769.191,768.782,935.055,1.02051,1.06548,1.06524,1.06467,1.29494
3,roadNet-CA,1971281,5533214,2.80691,135.33,132.505,99.5487,96.6029,90.5799,90.0831,40.8869,41.7586,55.583,57.2779,61.0866,61.4234,1.02132,1.35943,1.40088,1.49404,1.50228
4,chesapeake,39,340,8.71795,241.387,0.179236,0.16448,0.150705,0.148174,0.146423,0.00140853,1.89694,2.06712,2.25606,2.2946,2.32204,1346.75,1467.57,1601.72,1629.07,1648.56
4,hollywood-2009,1139905,113891327,99.913,92.8944,89.6104,84.378,84.7107,79.6063,79.3113,1226.03,1270.96,1349.78,1344.47,1430.68,1436,1.03665,1.10093,1.09661,1.16692,1.17126
4,ldoor,952203,46522475,48.8577,64.1545,63.4708,58.7925,58.7895,58.7759,48.6585,725.163,732.975,791.299,791.34,791.523,956.102,1.01077,1.0912,1.09126,1.09151,1.31846
4,roadNet-CA,1971281,5533214,2.80691,96.718,97.363,96.0599,89.5467,91.034,89.2866,57.2097,56.8307,57.6017,61.7913,60.7818,61.9714,0.993375,1.00685,1.08008,1.06244,1.08323
5,chesapeake,39,340,8.71795,236.155,0.150238,0.141503,0.141633,0.140321,0.166968,0.00143973,2.26308,2.40278,2.40057,2.42302,2.03632,1571.87,1668.9,1667.37,1682.96,1414.37
5,hollywood-2009,1139905,113891327,99.913,90.0848,88.8559,79.9502,80.0955,76.7506,76.781,1264.27,1281.75,1424.53,1421.94,1483.91,1483.33,1.01383,1.12676,1.12472,1.17373,1.17327
5,ldoor,952203,46522475,48.8577,62.8286,61.8504,55.8693,55.67,55.743,52.9161,740.467,752.177,832.702,835.683,834.589,879.175,1.01581,1.12456,1.12859,1.12711,1.18732
5,roadNet-CA,1971281,5533214,2.80691,89.9855,89.4613,88.8778,88.9146,88.7942,88.1544,61.4901,61.8504,62.2564,62.2307,62.315,62.7673,1.00586,1.01246,1.01204,1.01342,1.02077
6,chesapeake,39,340,8.71795,236.303,0.158878,0.150213,0.169371,0.164816,0.152883,0.00143883,2.14001,2.26345,2.00743,2.06291,2.22392,1487.32,1573.12,1395.18,1433.74,1545.64
6,hollywood-2009,1139905,113891327,99.913,93.5987,87.9903,87.1547,86.041,80.6074,80.3612,1216.8,1294.36,1306.77,1323.69,1412.91,1417.24,1.06374,1.07394,1.08784,1.16117,1.16473
6,ldoor,952203,46522475,48.8577,64.6383,64.1756,59.3498,55.191,55.1136,54.9826,719.735,724.925,783.869,842.936,844.12,846.13,1.00721,1.08911,1.17118,1.17282,1.17561
6,roadNet-CA,1971281,5533214,2.80691,91.176,89.847,89.7576,89.6914,89.8517,89.8468,60.6872,61.5849,61.6462,61.6917,61.5816,61.585,1.01479,1.0158,1.01655,1.01474,1.01479
7,chesapeake,39,340,8.71795,240.647,0.151476,0.161985,0.168311,0.147035,0.139758,0.00141286,2.24458,2.09896,2.02007,2.31237,2.43278,1588.68,1485.61,1429.78,1636.67,1721.88
7,hollywood-2009,1139905,113891327,99.913,90.303,86.9326,86.7855,78.9881,79.2435,79.1564,1261.21,1310.11,1312.33,1441.88,1437.23,1438.81,1.03877,1.04053,1.14325,1.13956,1.14082
7,ldoor,952203,46522475,48.8577,65.1476,63.208,63.0621,52.8717,51.153,53.1631,714.109,736.022,737.725,879.913,909.476,875.09,1.03069,1.03307,1.23218,1.27358,1.22543
7,roadNet-CA,1971281,5533214,2.80691,90.6043,89.5236,90.0319,89.4352,90.5402,91.7125,61.0701,61.8073,61.4584,61.8684,61.1133,60.3321,1.01207,1.00636,1.01307,1.00071,0.987916
8,chesapeake,39,340,8.71795,236.222,0.155302,0.175991,0.159249,0.148889,0.145839,0.00143932,2.18928,1.93192,2.13502,2.28358,2.33134,1521.05,1342.24,1483.35,1586.57,1619.75
8,hollywood-2009,1139905,113891327,99.913,92.5816,91.0246,91.0094,82.8369,82.6666,79.8661,1230.17,1251.21,1251.42,1374.89,1377.72,1426.03,1.0171,1.01727,1.11764,1.11994,1.15921
8,ldoor,952203,46522475,48.8577,63.7647,63.3246,58.8584,58.9492,59.4079,48.9469,729.596,734.666,790.414,789.196,783.103,950.468,1.00695,1.08336,1.08169,1.07334,1.30273
8,roadNet-CA,1971281,5533214,2.80691,103.297,115.255,97.1415,90.6449,90.8719,90.1835,53.5661,48.0086,56.9604,61.0428,60.8902,61.355,0.89625,1.06337,1.13958,1.13673,1.14541
9,chesapeake,39,340,8.71795,238.075,0.156693,0.149941,0.150541,0.170794,0.164726,0.00142812,2.16985,2.26756,2.25852,1.9907,2.06403,1519.37,1587.79,1581.46,1393.93,1445.28
9,hollywood-2009,1139905,113891327,99.913,93.8062,90.2738,83.4379,84.6953,79.3611,79.6074,1214.11,1261.62,1364.98,1344.72,1435.1,1430.66,1.03913,1.12426,1.10757,1.18202,1.17836
9,ldoor,952203,46522475,48.8577,65.4501,64.0386,56.7951,56.8518,56.7659,54.9746,710.809,726.475,819.128,818.312,819.55,846.254,1.02204,1.15239,1.15124,1.15298,1.19055
9,roadNet-CA,1971281,5533214,2.80691,92.3184,93.3416,92.9494,89.9903,90.38,90.2925,59.9362,59.2792,59.5293,61.4868,61.2216,61.281,0.989038,0.993211,1.02587,1.02145,1.02244
10,chesapeake,39,340,8.71795,236.279,0.158958,0.168977,0.167293,0.15238,0.147516,0.00143898,2.13893,2.01211,2.03236,2.23126,2.30483,1486.42,1398.29,1412.36,1550.59,1601.71
10,hollywood-2009,1139905,113891327,99.913,96.1315,94.0208,90.0979,81.7805,81.1153,80.2886,1184.74,1211.34,1264.08,1392.65,1404.07,1418.52,1.02245,1.06697,1.17548,1.18512,1.19733
10,ldoor,952203,46522475,48.8577,63.7653,63.0042,63.0717,63.0485,56.9831,51.4277,729.589,738.403,737.612,737.884,816.426,904.618,1.01208,1.011,1.01137,1.11902,1.2399
10,roadNet-CA,1971281,5533214,2.80691,123.446,136.472,90.7535,90.2268,89.9725,89.7628,44.8229,40.5447,60.9697,61.3256,61.499,61.6426,0.904554,1.36024,1.36818,1.37204,1.37525
