chesapeake,39,39,340,8.71795,0.003767,0.002074,0.004396,0.009982,0.010132,0.016279,1.8163,0.856915,0.377379,0.371792,0.231402
hollywood-2009,1139905,1139905,113891327,99.913,256.779,129.764,65.981,34.1673,17.7588,15.8107,1.97882,3.89171,7.51535,14.4593,16.2408
ldoor,952203,952203,46522475,48.8577,71.2306,37.7893,19.4157,9.47832,6.28133,6.02692,1.88494,3.66872,7.51511,11.3401,11.8187
roadNet-CA,1971281,1971281,5533214,2.80691,20.7751,12.411,7.24251,4.28193,2.45071,1.97086,1.67393,2.86849,4.8518,8.47718,10.5411
chesapeake,39,39,340,8.71795,0.003324,0.002287,0.004421,0.006021,0.012986,0.013884,1.45343,0.751866,0.552068,0.255968,0.239412
hollywood-2009,1139905,1139905,113891327,99.913,257.929,130.576,66.5807,34.2217,17.801,15.8497,1.97533,3.87394,7.53702,14.4896,16.2735
ldoor,952203,952203,46522475,48.8577,71.6302,37.8822,19.2633,9.51539,6.29606,6.02827,1.89087,3.71847,7.52782,11.377,11.8824
roadNet-CA,1971281,1971281,5533214,2.80691,20.7062,12.4063,7.3269,4.31581,2.45681,2.14822,1.66901,2.82605,4.79775,8.42807,9.63876
chesapeake,39,39,340,8.71795,0.003494,0.002154,0.004605,0.006247,0.012467,0.019243,1.6221,0.75874,0.559308,0.28026,0.181573
hollywood-2009,1139905,1139905,113891327,99.913,255.417,130.414,66.2724,34.2115,17.8009,15.8334,1.95851,3.85405,7.46582,14.3486,16.1315
ldoor,952203,952203,46522475,48.8577,71.1537,37.9121,19.228,9.48785,6.26781,6.0276,1.87681,3.70053,7.49946,11.3522,11.8047
roadNet-CA,1971281,1971281,5533214,2.80691,20.7035,12.4529,7.28919,4.29561,2.45781,2.1457,1.66255,2.84031,4.8197,8.42357,9.64885
chesapeake,39,39,340,8.71795,0.00355,0.002197,0.004545,0.006702,0.009414,0.015967,1.61584,0.781078,0.529693,0.377098,0.222334
hollywood-2009,1139905,1139905,113891327,99.913,257.226,129.933,66.4009,34.1669,17.7734,15.834,1.97968,3.87383,7.52852,14.4725,16.2451
ldoor,952203,952203,46522475,48.8577,71.4328,37.831,19.4813,9.43839,6.26295,6.02152,1.88821,3.66673,7.56833,11.4056,11.8629
roadNet-CA,1971281,1971281,5533214,2.80691,20.928,13.2031,7.24029,4.30322,2.44908,1.98205,1.58509,2.8905,4.86334,8.54527,10.5588
chesapeake,39,39,340,8.71795,0.003552,0.001957,0.005141,0.006426,0.010117,0.014336,1.81502,0.690916,0.552754,0.351092,0.247768
hollywood-2009,1139905,1139905,113891327,99.913,260.191,131.221,66.5392,34.2411,17.7982,15.8386,1.98284,3.91034,7.59878,14.6189,16.4276
ldoor,952203,952203,46522475,48.8577,72.2226,38.1394,19.3054,9.49372,6.28388,6.01859,1.89365,3.74107,7.60741,11.4933,11.9999
roadNet-CA,1971281,1971281,5533214,2.80691,20.9218,12.5367,7.27267,4.30067,2.44299,2.14698,1.66885,2.87677,4.86478,8.56402,9.74474
chesapeake,39,39,340,8.71795,0.003701,0.002348,0.004559,0.012991,0.010973,0.017697,1.57624,0.811801,0.28489,0.337282,0.209131
hollywood-2009,1139905,1139905,113891327,99.913,255.585,129.945,66.1265,34.1973,17.7817,15.8129,1.96687,3.86509,7.47384,14.3735,16.1631
ldoor,952203,952203,46522475,48.8577,71.743,37.8738,19.2259,9.45158,6.27642,6.02652,1.89427,3.73157,7.59058,11.4306,11.9045
roadNet-CA,1971281,1971281,5533214,2.80691,20.745,12.3624,7.28738,4.30876,2.42952,2.16481,1.67807,2.8467,4.8146,8.53872,9.58279
chesapeake,39,39,340,8.71795,0.003948,0.002064,0.004286,0.007176,0.009481,0.014588,1.91279,0.921139,0.550167,0.416412,0.270633
hollywood-2009,1139905,1139905,113891327,99.913,255.511,129.892,66.1278,34.2123,17.7775,15.8224,1.9671,3.8639,7.4684,14.3728,16.1487
ldoor,952203,952203,46522475,48.8577,71.1951,37.8302,19.2282,9.46509,6.26949,6.03076,1.88197,3.70265,7.52185,11.3558,11.8053
roadNet-CA,1971281,1971281,5533214,2.80691,20.6765,12.4718,7.24919,4.31312,2.45069,2.14937,1.65787,2.85225,4.79387,8.43704,9.6198
chesapeake,39,39,340,8.71795,0.003519,0.002447,0.00484,0.007138,0.008657,0.014959,1.43809,0.727066,0.492995,0.406492,0.235243
hollywood-2009,1139905,1139905,113891327,99.913,256.558,130.742,66.485,34.2434,17.7903,15.8468,1.96232,3.85888,7.49219,14.4213,16.1899
ldoor,952203,952203,46522475,48.8577,71.2322,37.967,19.2868,9.45864,6.27251,6.0193,1.87616,3.69331,7.53091,11.3563,11.834
roadNet-CA,1971281,1971281,5533214,2.80691,20.7597,12.4351,7.29148,4.30745,2.44708,2.15096,1.66945,2.84712,4.8195,8.48345,9.65137
chesapeake,39,39,340,8.71795,0.003417,0.002547,0.004491,0.00709,0.008621,0.014802,1.34158,0.760855,0.481946,0.396358,0.230847
hollywood-2009,1139905,1139905,113891327,99.913,255.519,129.456,66.2992,34.1116,17.7903,15.8412,1.97378,3.85403,7.49067,14.3628,16.13
ldoor,952203,952203,46522475,48.8577,71.1499,37.8097,19.258,9.46721,6.28293,6.01806,1.88179,3.69456,7.51541,11.3243,11.8227
roadNet-CA,1971281,1971281,5533214,2.80691,20.6956,12.4097,7.31413,4.31546,2.45339,1.98361,1.6677,2.82953,4.79567,8.4355,10.4333
chesapeake,39,39,340,8.71795,0.004039,0.001977,0.017414,0.005511,0.009161,0.019033,2.04299,0.23194,0.732898,0.440891,0.21221
hollywood-2009,1139905,1139905,113891327,99.913,255.279,130.479,66.4262,34.1475,17.7741,15.8244,1.95647,3.84306,7.47579,14.3624,16.1321
ldoor,952203,952203,46522475,48.8577,71.358,38.0367,19.2058,9.45814,6.26877,6.02228,1.87603,3.71543,7.54462,11.3831,11.849
roadNet-CA,1971281,1971281,5533214,2.80691,20.6318,12.5313,7.33303,4.30523,2.44536,2.14704,1.64642,2.81355,4.79227,8.43712,9.60944
chesapeake,39,39,340,8.71795,346.927,0.063743,0.055451,0.053217,0.052591,0.052662,5442.59,6256.46,6519.1,6596.7,6587.81
hollywood-2009,1139905,1139905,113891327,99.913,188.511,181.891,181.635,181.804,181.406,182.071,1.03639,1.03785,1.03689,1.03917,1.03537
ldoor,952203,952203,46522475,48.8577,75.5685,74.7379,73.365,73.2517,76.1571,73.214,1.01111,1.03003,1.03163,0.992271,1.03216
roadNet-CA,1971281,1971281,5533214,2.80691,16.645,15.4116,15.3406,15.0958,15.0837,15.2352,1.08004,1.08503,1.10262,1.10351,1.09254
