run,graph,num_rows,num_cols,nnz,avg_degree,ms_t1,ms_t2,ms_t4,ms_t8,ms_t16,ms_t32,speedup_t2,speedup_t4,speedup_t8,speedup_t16,speedup_t32
1,chesapeake,39,39,340,8.71795,343.899,0.065334,0.071288,0.054077,0.052908,0.052606,5263.71,4824.09,6359.44,6499.95,6537.27
1,hollywood-2009,1139905,1139905,113891327,99.913,190.476,185.045,183.813,182.874,181.938,182.261,1.02935,1.03625,1.04157,1.04693,1.04507
1,ldoor,952203,952203,46522475,48.8577,74.8905,75.1101,74.1792,74.8192,74.3849,73.6005,0.997076,1.00959,1.00095,1.0068,1.01753
1,roadNet-CA,1971281,1971281,5533214,2.80691,16.3263,15.3273,15.4852,15.4131,15.4488,15.4382,1.06518,1.05432,1.05925,1.0568,1.05753
1,chesapeake,39,39,340,8.71795,291.304,0.079617,0.058785,0.078058,0.067837,0.052802,3658.82,4955.41,3731.89,4294.17,5516.91
1,hollywood-2009,1139905,1139905,113891327,99.913,191.413,187.725,187.868,186.527,186.314,187.186,1.01965,1.01887,1.02619,1.02737,1.02258
1,ldoor,952203,952203,46522475,48.8577,77.2267,76.1079,75.2857,75.3952,75.3954,75.6129,1.0147,1.02578,1.02429,1.02429,1.02134
1,roadNet-CA,1971281,1971281,5533214,2.80691,16.5974,15.5633,15.5195,15.5186,15.6779,15.5942,1.06644,1.06946,1.06951,1.05865,1.06433
1,chesapeake,39,39,340,8.71795,302.183,0.061024,0.054055,0.051315,0.050563,0.050281,4951.86,5590.28,5888.78,5976.36,6009.88
1,hollywood-2009,1139905,1139905,113891327,99.913,196.103,192.791,187.623,190.912,189.479,189.22,1.01718,1.0452,1.02719,1.03496,1.03638
1,ldoor,952203,952203,46522475,48.8577,78.0552,76.253,75.5656,75.4145,75.4757,75.5028,1.02363,1.03295,1.03502,1.03418,1.0338
1,roadNet-CA,1971281,1971281,5533214,2.80691,16.7355,15.5504,15.5616,15.5827,15.5987,15.7288,1.07622,1.07544,1.07398,1.07288,1.06401
1,chesapeake,39,39,340,8.71795,293.888,0.059451,0.05138,0.048578,0.048572,0.048467,4943.37,5719.89,6049.82,6050.57,6063.67
1,hollywood-2009,1139905,1139905,113891327,99.913,188.293,183.315,182.868,181.599,180.81,180.977,1.02715,1.02966,1.03686,1.04138,1.04042
1,ldoor,952203,952203,46522475,48.8577,75.655,75.0349,74.4006,73.5963,74.0807,73.9809,1.00826,1.01686,1.02797,1.02125,1.02263
1,roadNet-CA,1971281,1971281,5533214,2.80691,16.2717,15.0905,15.0505,15.1765,15.0675,15.0322,1.07827,1.08114,1.07216,1.07992,1.08246
1,chesapeake,39,39,340,8.71795,297.752,0.062997,0.054848,0.093702,0.068515,0.054304,4726.45,5428.68,3177.65,4345.79,5483.06
1,hollywood-2009,1139905,1139905,113891327,99.913,182.185,179.519,180.859,179.929,180.012,180.319,1.01485,1.00733,1.01254,1.01207,1.01035
1,ldoor,952203,952203,46522475,48.8577,73.4785,72.7884,72.4879,71.8331,72.3551,72.3792,1.00948,1.01367,1.02291,1.01553,1.01519
1,roadNet-CA,1971281,1971281,5533214,2.80691,16.1041,15.2462,15.2503,15.2339,15.2135,15.2832,1.05627,1.05599,1.05712,1.05854,1.05371
1,chesapeake,39,39,340,8.71795,299.012,0.062798,0.053715,0.052797,0.05216,0.052008,4761.48,5566.63,5663.42,5732.58,5749.34
1,hollywood-2009,1139905,1139905,113891327,99.913,184.767,179.197,178.051,178.686,179.584,181.695,1.03108,1.03772,1.03403,1.02886,1.01691
