run,N,nthreads,serial_ms,parallel_ms,speedup
1,4096,2,0.210,367.506,0.001
1,4096,4,0.210,0.187,1.123
1,4096,8,0.210,0.195,1.076
1,4096,16,0.210,0.182,1.154
1,4096,32,0.210,0.178,1.178
1,4096,64,0.210,0.180,1.168
1,8192,2,0.432,0.274,1.574
1,8192,4,0.432,0.218,1.984
1,8192,8,0.432,0.215,2.007
1,8192,16,0.432,0.230,1.875
1,8192,32,0.432,0.223,1.936
1,8192,64,0.432,0.215,2.011
1,16384,2,0.916,0.303,3.024
1,16384,4,0.916,0.265,3.453
1,16384,8,0.916,0.289,3.175
1,16384,16,0.916,0.266,3.446
1,16384,32,0.916,0.263,3.485
1,16384,64,0.916,0.278,3.301
1,32768,2,1.971,0.419,4.703
1,32768,4,1.971,0.374,5.267
1,32768,8,1.971,0.372,5.302
1,32768,16,1.971,0.369,5.341
1,32768,32,1.971,0.370,5.334
1,32768,64,1.971,0.389,5.063
1,65536,2,4.302,0.611,7.040
1,65536,4,4.302,0.564,7.632
1,65536,8,4.302,0.570,7.544
1,65536,16,4.302,0.584,7.364
1,65536,32,4.302,0.580,7.417
1,65536,64,4.302,0.565,7.615
1,131072,2,9.874,1.145,8.623
1,131072,4,9.874,0.965,10.234
1,131072,8,9.874,0.970,10.174
1,131072,16,9.874,0.983,10.043
1,131072,32,9.874,0.970,10.182
1,131072,64,9.874,0.965,10.234
1,262144,2,22.521,1.954,11.525
1,262144,4,22.521,1.795,12.544
1,262144,8,22.521,1.770,12.722
1,262144,16,22.521,1.771,12.720
1,262144,32,22.521,1.762,12.784
1,262144,64,22.521,1.763,12.776
1,524288,2,50.875,3.526,14.428
1,524288,4,50.875,3.242,15.693
1,524288,8,50.875,3.236,15.721
1,524288,16,50.875,3.233,15.737
1,524288,32,50.875,3.226,15.769
1,524288,64,50.875,3.255,15.632
2,4096,2,1.401,294.837,0.005
2,4096,4,1.401,0.177,7.924
2,4096,8,1.401,0.168,8.327
2,4096,16,1.401,0.168,8.351
2,4096,32,1.401,0.192,7.290
2,4096,64,1.401,0.168,8.314
2,8192,2,0.424,0.292,1.450
2,8192,4,0.424,0.222,1.910
2,8192,8,0.424,0.286,1.481
2,8192,16,0.424,0.205,2.072
2,8192,32,0.424,0.218,1.948
2,8192,64,0.424,0.213,1.986
2,16384,2,0.998,0.330,3.025
2,16384,4,0.998,0.267,3.732
2,16384,8,0.998,0.290,3.437
2,16384,16,0.998,0.282,3.535
2,16384,32,0.998,0.347,2.878
2,16384,64,0.998,0.293,3.409
2,32768,2,2.031,0.421,4.823
2,32768,4,2.031,0.366,5.546
2,32768,8,2.031,0.384,5.285
2,32768,16,2.031,0.438,4.640
2,32768,32,2.031,0.389,5.219
2,32768,64,2.031,0.373,5.448
2,65536,2,4.565,0.634,7.202
2,65536,4,4.565,0.612,7.464
2,65536,8,4.565,0.566,8.063
2,65536,16,4.565,0.626,7.292
2,65536,32,4.565,0.586,7.784
2,65536,64,4.565,0.616,7.414
2,131072,2,10.417,1.173,8.878
2,131072,4,10.417,0.969,10.753
2,131072,8,10.417,0.976,10.669
2,131072,16,10.417,0.990,10.522
2,131072,32,10.417,0.994,10.481
2,131072,64,10.417,0.991,10.514
2,262144,2,22.990,1.975,11.642
2,262144,4,22.990,1.807,12.722
2,262144,8,22.990,1.774,12.962
2,262144,16,22.990,1.774,12.957
2,262144,32,22.990,1.785,12.882
2,262144,64,22.990,1.772,12.975
2,524288,2,51.457,3.476,14.802
2,524288,4,51.457,3.146,16.359
2,524288,8,51.457,3.150,16.336
2,524288,16,51.457,3.136,16.410
2,524288,32,51.457,3.141,16.381
2,524288,64,51.457,3.141,16.381
3,4096,2,0.207,274.729,0.001
3,4096,4,0.207,0.195,1.059
3,4096,8,0.207,0.173,1.197
3,4096,16,0.207,0.171,1.210
3,4096,32,0.207,0.192,1.075
3,4096,64,0.207,0.182,1.134
3,8192,2,0.433,0.243,1.777
3,8192,4,0.433,0.220,1.965
3,8192,8,0.433,0.215,2.016
3,8192,16,0.433,0.200,2.161
3,8192,32,0.433,0.198,2.190
3,8192,64,0.433,0.198,2.182
3,16384,2,0.945,0.286,3.299
3,16384,4,0.945,0.286,3.302
3,16384,8,0.945,0.260,3.637
3,16384,16,0.945,0.255,3.710
3,16384,32,0.945,0.278,3.404
3,16384,64,0.945,0.255,3.710
3,32768,2,1.978,0.391,5.060
3,32768,4,1.978,0.353,5.602
3,32768,8,1.978,0.354,5.595
3,32768,16,1.978,0.343,5.766
3,32768,32,1.978,0.367,5.383
3,32768,64,1.978,0.347,5.701
3,65536,2,4.362,0.546,7.990
3,65536,4,4.362,0.538,8.109
3,65536,8,4.362,0.530,8.233
3,65536,16,4.362,0.525,8.305
3,65536,32,4.362,0.546,7.986
3,65536,64,4.362,0.540,8.073
3,131072,2,9.972,1.073,9.298
3,131072,4,9.972,0.899,11.087
3,131072,8,9.972,0.959,10.396
3,131072,16,9.972,0.972,10.255
3,131072,32,9.972,0.893,11.163
3,131072,64,9.972,0.899,11.087
3,262144,2,23.035,1.787,12.892
3,262144,4,23.035,1.645,14.003
3,262144,8,23.035,1.636,14.076
3,262144,16,23.035,1.640,14.047
3,262144,32,23.035,1.663,13.855
3,262144,64,23.035,1.646,13.999
3,524288,2,51.180,3.208,15.953
3,524288,4,51.180,2.968,17.245
3,524288,8,51.180,2.933,17.451
3,524288,16,51.180,2.939,17.413
3,524288,32,51.180,2.934,17.442
3,524288,64,51.180,2.950,17.349
4,4096,2,0.197,265.811,0.001
4,4096,4,0.197,0.163,1.205
4,4096,8,0.197,0.158,1.244
4,4096,16,0.197,0.156,1.262
4,4096,32,0.197,0.173,1.135
4,4096,64,0.197,0.165,1.194
4,8192,2,0.432,0.234,1.850
4,8192,4,0.432,0.189,2.287
4,8192,8,0.432,0.203,2.133
4,8192,16,0.432,0.186,2.323
4,8192,32,0.432,0.184,2.344
4,8192,64,0.432,0.185,2.332
4,16384,2,0.927,0.279,3.323
4,16384,4,0.927,0.245,3.784
4,16384,8,0.927,0.261,3.553
4,16384,16,0.927,0.245,3.787
4,16384,32,0.927,0.242,3.822
4,16384,64,0.927,0.261,3.547
4,32768,2,1.971,0.379,5.198
4,32768,4,1.971,0.350,5.629
4,32768,8,1.971,0.338,5.824
4,32768,16,1.971,0.358,5.506
4,32768,32,1.971,0.345,5.717
4,32768,64,1.971,0.357,5.521
4,65536,2,4.271,0.550,7.764
4,65536,4,4.271,0.532,8.031
4,65536,8,4.271,0.550,7.764
4,65536,16,4.271,0.533,8.016
4,65536,32,4.271,0.548,7.798
4,65536,64,4.271,0.535,7.980
4,131072,2,10.026,1.067,9.399
4,131072,4,10.026,0.899,11.156
4,131072,8,10.026,0.890,11.269
4,131072,16,10.026,0.898,11.168
4,131072,32,10.026,0.916,10.951
4,131072,64,10.026,0.902,11.117
4,262144,2,22.453,1.823,12.316
4,262144,4,22.453,1.654,13.572
4,262144,8,22.453,1.648,13.627
4,262144,16,22.453,1.660,13.524
4,262144,32,22.453,1.651,13.596
4,262144,64,22.453,1.650,13.604
4,524288,2,51.235,3.339,15.344
4,524288,4,51.235,2.962,17.297
4,524288,8,51.235,3.005,17.049
4,524288,16,51.235,2.996,17.104
4,524288,32,51.235,3.024,16.942
4,524288,64,51.235,2.990,17.134
5,4096,2,0.197,267.631,0.001
5,4096,4,0.197,0.197,0.998
5,4096,8,0.197,0.156,1.264
5,4096,16,0.197,0.156,1.264
5,4096,32,0.197,0.149,1.315
5,4096,64,0.197,0.170,1.157
5,8192,2,0.450,0.227,1.979
5,8192,4,0.450,0.186,2.424
5,8192,8,0.450,0.184,2.443
5,8192,16,0.450,0.195,2.308
5,8192,32,0.450,0.182,2.472
5,8192,64,0.450,0.183,2.463
5,16384,2,0.920,0.274,3.360
5,16384,4,0.920,0.241,3.820
5,16384,8,0.920,0.261,3.521
5,16384,16,0.920,0.254,3.626
5,16384,32,0.920,0.241,3.820
5,16384,64,0.920,0.240,3.832
5,32768,2,1.980,0.381,5.202
5,32768,4,1.980,0.343,5.768
5,32768,8,1.980,0.332,5.968
5,32768,16,1.980,0.355,5.578
5,32768,32,1.980,0.337,5.881
5,32768,64,1.980,0.347,5.699
5,65536,2,4.442,0.558,7.962
5,65536,4,4.442,0.521,8.529
5,65536,8,4.442,0.531,8.365
5,65536,16,4.442,0.543,8.177
5,65536,32,4.442,0.518,8.578
5,65536,64,4.442,0.542,8.188
5,131072,2,10.019,1.051,9.535
5,131072,4,10.019,0.888,11.283
5,131072,8,10.019,0.906,11.058
5,131072,16,10.019,0.889,11.265
5,131072,32,10.019,0.921,10.876
5,131072,64,10.019,0.889,11.274
5,262144,2,22.674,1.865,12.156
5,262144,4,22.674,1.631,13.901
5,262144,8,22.674,1.672,13.560
5,262144,16,22.674,1.642,13.810
5,262144,32,22.674,1.635,13.868
5,262144,64,22.674,1.634,13.878
5,524288,2,51.154,3.224,15.867
5,524288,4,51.154,2.958,17.291
5,524288,8,51.154,2.927,17.477
5,524288,16,51.154,2.932,17.448
5,524288,32,51.154,2.930,17.458
5,524288,64,51.154,2.938,17.414
