N,nthreads,serial_ms,parallel_ms,speedup
4096,2,0.21,367.506,0.001
4096,4,0.21,0.187,1.123
4096,8,0.21,0.195,1.076
4096,16,0.21,0.182,1.154
4096,32,0.21,0.178,1.178
4096,64,0.21,0.18,1.168
8192,2,0.432,0.274,1.574
8192,4,0.432,0.218,1.984
8192,8,0.432,0.215,2.007
8192,16,0.432,0.23,1.875
8192,32,0.432,0.223,1.936
8192,64,0.432,0.215,2.011
16384,2,0.916,0.303,3.024
16384,4,0.916,0.265,3.453
16384,8,0.916,0.289,3.175
16384,16,0.916,0.266,3.446
16384,32,0.916,0.263,3.485
16384,64,0.916,0.278,3.301
32768,2,1.971,0.419,4.703
32768,4,1.971,0.374,5.267
32768,8,1.971,0.372,5.302
32768,16,1.971,0.369,5.341
32768,32,1.971,0.37,5.334
32768,64,1.971,0.389,5.063
65536,2,4.302,0.611,7.04
65536,4,4.302,0.564,7.632
65536,8,4.302,0.57,7.544
65536,16,4.302,0.584,7.364
65536,32,4.302,0.58,7.417
65536,64,4.302,0.565,7.615
