run,N,nthreads,serial_ms,parallel_ms,speedup
1,4096,2,0.315,0.322,0.977
1,4096,4,0.315,0.315,0.999
1,4096,8,0.315,0.314,1.004
1,4096,16,0.315,0.319,0.989
1,4096,32,0.315,0.314,1.004
1,4096,64,0.315,0.315,1.001
1,8192,2,0.686,0.686,1.000
1,8192,4,0.686,0.680,1.010
1,8192,8,0.686,0.686,1.000
1,8192,16,0.686,0.685,1.001
1,8192,32,0.686,0.682,1.006
1,8192,64,0.686,0.685,1.002
1,16384,2,1.476,1.475,1.000
1,16384,4,1.476,1.477,0.999
1,16384,8,1.476,1.473,1.002
1,16384,16,1.476,1.475,1.001
1,16384,32,1.476,1.475,1.001
1,16384,64,1.476,1.473,1.002
1,32768,2,3.171,3.162,1.003
1,32768,4,3.171,3.157,1.005
1,32768,8,3.171,3.160,1.003
1,32768,16,3.171,3.157,1.005
1,32768,32,3.171,3.159,1.004
1,32768,64,3.171,3.157,1.004
1,65536,2,6.760,6.739,1.003
1,65536,4,6.760,6.749,1.002
1,65536,8,6.760,6.754,1.001
1,65536,16,6.760,6.746,1.002
1,65536,32,6.760,6.742,1.003
1,65536,64,6.760,6.749,1.002
1,131072,2,14.413,14.416,1.000
1,131072,4,14.413,14.396,1.001
1,131072,8,14.413,14.395,1.001
1,131072,16,14.413,14.393,1.001
1,131072,32,14.413,14.391,1.001
1,131072,64,14.413,14.394,1.001
1,262144,2,31.045,31.284,0.992
1,262144,4,31.045,30.997,1.002
1,262144,8,31.045,30.991,1.002
1,262144,16,31.045,30.989,1.002
1,262144,32,31.045,31.000,1.001
1,262144,64,31.045,31.009,1.001
1,524288,2,67.059,67.473,0.994
1,524288,4,67.059,66.984,1.001
1,524288,8,67.059,66.947,1.002
1,524288,16,67.059,66.956,1.002
1,524288,32,67.059,66.989,1.001
1,524288,64,67.059,66.960,1.001
2,4096,2,0.320,0.317,1.011
2,4096,4,0.320,0.316,1.014
2,4096,8,0.320,0.317,1.008
2,4096,16,0.320,0.314,1.019
2,4096,32,0.320,0.314,1.019
2,4096,64,0.320,0.317,1.009
2,8192,2,0.683,0.686,0.996
2,8192,4,0.683,0.684,0.998
2,8192,8,0.683,0.682,1.002
2,8192,16,0.683,0.683,1.000
2,8192,32,0.683,0.683,1.000
2,8192,64,0.683,0.680,1.005
2,16384,2,1.483,1.472,1.007
2,16384,4,1.483,1.479,1.003
2,16384,8,1.483,1.475,1.005
2,16384,16,1.483,1.492,0.993
2,16384,32,1.483,1.475,1.005
2,16384,64,1.483,1.476,1.005
2,32768,2,3.166,3.160,1.002
2,32768,4,3.166,3.169,0.999
2,32768,8,3.166,3.163,1.001
2,32768,16,3.166,3.159,1.002
2,32768,32,3.166,3.160,1.002
2,32768,64,3.166,3.158,1.002
2,65536,2,6.766,6.756,1.001
2,65536,4,6.766,6.747,1.003
2,65536,8,6.766,6.748,1.003
2,65536,16,6.766,6.759,1.001
2,65536,32,6.766,6.759,1.001
2,65536,64,6.766,6.752,1.002
2,131072,2,14.427,14.384,1.003
2,131072,4,14.427,14.390,1.003
2,131072,8,14.427,14.392,1.002
2,131072,16,14.427,14.396,1.002
2,131072,32,14.427,14.392,1.002
2,131072,64,14.427,14.403,1.002
2,262144,2,31.026,30.972,1.002
2,262144,4,31.026,31.003,1.001
2,262144,8,31.026,31.003,1.001
2,262144,16,31.026,30.973,1.002
2,262144,32,31.026,30.967,1.002
2,262144,64,31.026,31.168,0.995
2,524288,2,67.101,67.691,0.991
2,524288,4,67.101,67.035,1.001
2,524288,8,67.101,67.029,1.001
2,524288,16,67.101,67.000,1.001
2,524288,32,67.101,67.037,1.001
2,524288,64,67.101,67.068,1.000
3,4096,2,0.315,0.321,0.984
3,4096,4,0.315,0.314,1.004
3,4096,8,0.315,0.314,1.005
3,4096,16,0.315,0.319,0.989
3,4096,32,0.315,0.315,1.002
3,4096,64,0.315,0.314,1.005
3,8192,2,0.687,0.685,1.003
3,8192,4,0.687,0.680,1.011
3,8192,8,0.687,0.719,0.956
3,8192,16,0.687,0.684,1.005
3,8192,32,0.687,0.681,1.009
3,8192,64,0.687,0.684,1.005
3,16384,2,1.478,1.473,1.003
3,16384,4,1.478,1.476,1.001
3,16384,8,1.478,1.472,1.004
3,16384,16,1.478,1.476,1.001
3,16384,32,1.478,1.472,1.004
3,16384,64,1.478,1.473,1.003
3,32768,2,3.175,3.161,1.004
3,32768,4,3.175,3.160,1.005
3,32768,8,3.175,3.162,1.004
3,32768,16,3.175,3.161,1.004
3,32768,32,3.175,3.163,1.004
3,32768,64,3.175,3.160,1.005
3,65536,2,6.757,6.751,1.001
3,65536,4,6.757,6.743,1.002
3,65536,8,6.757,6.744,1.002
3,65536,16,6.757,6.747,1.002
3,65536,32,6.757,6.753,1.001
3,65536,64,6.757,6.750,1.001
3,131072,2,14.412,14.391,1.001
3,131072,4,14.412,14.392,1.001
3,131072,8,14.412,14.398,1.001
3,131072,16,14.412,14.396,1.001
3,131072,32,14.412,14.397,1.001
3,131072,64,14.412,14.403,1.001
3,262144,2,31.085,31.299,0.993
3,262144,4,31.085,31.020,1.002
3,262144,8,31.085,31.011,1.002
3,262144,16,31.085,31.025,1.002
3,262144,32,31.085,31.031,1.002
3,262144,64,31.085,31.036,1.002
3,524288,2,67.428,67.412,1.000
3,524288,4,67.428,67.303,1.002
3,524288,8,67.428,67.308,1.002
3,524288,16,67.428,67.343,1.001
3,524288,32,67.428,67.330,1.001
3,524288,64,67.428,67.312,1.002
4,4096,2,0.315,0.323,0.976
4,4096,4,0.315,0.316,0.997
4,4096,8,0.315,0.314,1.002
4,4096,16,0.315,0.319,0.986
4,4096,32,0.315,0.315,0.998
4,4096,64,0.315,0.315,0.998
4,8192,2,0.684,0.685,0.999
4,8192,4,0.684,0.682,1.003
4,8192,8,0.684,0.698,0.980
4,8192,16,0.684,0.683,1.002
4,8192,32,0.684,0.680,1.006
4,8192,64,0.684,0.684,1.000
4,16384,2,1.478,1.475,1.002
4,16384,4,1.478,1.475,1.002
4,16384,8,1.478,1.473,1.003
4,16384,16,1.478,1.476,1.001
4,16384,32,1.478,1.473,1.003
4,16384,64,1.478,1.475,1.002
4,32768,2,3.159,3.130,1.009
4,32768,4,3.159,3.156,1.001
4,32768,8,3.159,3.163,0.999
4,32768,16,3.159,3.165,0.998
